B_Fingerprint,C_Fingerprint,Product_Fingerprint,%conversion Based on the LC area percent (LCAP) at UV 254 nm of product,%conversion Based on the MS peak area percent of product
01111001011110010111111110111111111110011101110011101000111111111011111100111011110110001111011110101101111011110111111111110010111111111111011111111111111111111111111111110101100111111111101010110111111011101110111110111110111111111011111101100110111110111011011111111111000111111001111011011111001111111100111111111111111110100111111011011011111011111100100011011111011111110001110111111111111111111001110100011110111111010101111111011111011111111010010011000110110011110111011011101111011101111111011111111111,11110100010101101101111000111001110010001111011111011111000101111001011100000111101001001100110010101001101111110001000111111011010010101100100111101111111011101100111100101100001110010101111100101001001101001110001001100001010001111000011100011010110110101011101100111011100111111111111001110111100111100100111001011111010111110010010111010011110110100111111011010001010101101101111110001111110011111110011011100111011000011111011110010110111011111011000111001111011000111111111101000110110100111011110011100011,11111110010111101101111110111101111110101111011111111111101101111011111110010111110001001111110110001111111111110111110111111011111010101110111111101111111011111101110111101110101111011111111110111101101101101110001101110000011101111001111100111011110110111111101100101011101111111111111111111111100111111100111111111111110111110111110111011111110111111111111111011101100101111111111110111111111111111111111111110111111100110111111111111111111111111011010111111111111001111111111111011110110100111011111011111011,0.0,0.0
11111101101111101110111111100111111111111111111111111111111011111011111011010111111111101100111110111111111111111111010101111010110111111011111111111111111111111111111111111111111111111111011111011101110010111111111011100110011111111111111111111011111111111111011111011111101111111011111101111111001110111101111110111111111110111111111111101111111101111111011111010111111011111111110101101111011111011111111111111111111111111111111111111011111111111111011101101101101011011110011111111011111111100101111011110011,11110100010101101101111000111001110010001111011111011111000101111001011100000111101001001100110010101001101111110001000111111011010010101100100111101111111011101100111100101100001110010101111100101001001101001110001001100001010001111000011100011010110110101011101100111011100111111111111001110111100111100100111001011111010111110010010111010011110110100111111011010001010101101101111110001111110011111110011011100111011000011111011110010110111011111011000111001111011000111111111101000110110100111011110011100011,11111110111101111111111001111111111111011111111111111111110111111111111111010111111011111101111011011101111111111001011111111111010010111111111111111111111111111111111111101111111111110111111111111011111111111111101111110111111011111111111111111110110110101110001110111011111111111111111011111011111111111111111111111111111111111110010111111111111111111111111011110011101101101111111110111111110110111111111111110111011110111111111111111111111111111111011111011111011011111111111111111111111111111111111111100111,0.0,0.0
00111111010101111110010001110111111101101011101110111100111000011111010011000110110011101110001101011000101010011011110111110111010011001100001111110111010110110011111101011110100010111111111010111111001011001111011100100111011111010001101010000111110010110111100110011111010111010011111111111011001100001100101100111100000110111100101011101100010111000000011101011011001111100110011100100011100101100010111010011010010011011111010111010011100010110110010111010111111011010010101011001001011110101101011110101001,11110100010101101101111000111001110010001111011111011111000101111001011100000111101001001100110010101001101111110001000111111011010010101100100111101111111011101100111100101100001110010101111100101001001101001110001001100001010001111000011100011010110110101011101100111011100111111111111001110111100111100100111001011111010111110010010111010011110110100111111011010001010101101101111110001111110011111110011011100111011000011111011110010110111011111011000111001111011000111111111101000110110100111011110011100011,11111111111111111111111110111111110111111111111111111111111101111111110111000111111111011111111111111111111111111111110111111111010011101111101111111111111111111111111111111111101111110111111110111101011111101111111111111101011111111011111101011110110111111110111111101111101111111111111111110111110111101111111111111111111111111111111111011111110100101111111111011011111111111111111111101111111111111111011111111111111111011111011111110111111111111111111111011111111100111111111101101111110111111011111111111111,0.0,0.0
11111111001110101110101101010101100010110001101101101101110111111011010110100101110111110001011111111101110111111111010111011010110001111010111111111001001111110100011010101100001110111111101111101101001110001101011011100011110101110111100010110010111110111001001101100101100111111111111101011111011110111110111011011110011111101111100111111110101000111110110101010111111010010011010101111111111011111101111111011010011001111000011100111011010111011011011011000001111111011111011111101001111110101110011001101001,11110100010101101101111000111001110010001111011111011111000101111001011100000111101001001100110010101001101111110001000111111011010010101100100111101111111011101100111100101100001110010101111100101001001101001110001001100001010001111000011100011010110110101011101100111011100111111111111001110111100111100100111001011111010111110010010111010011110110100111111011010001010101101101111110001111110011111110011011100111011000011111011110010110111011111011000111001111011000111111111101000110110100111011110011100011,11111110011111101111111010111011110111111111111111111111010101111101111110100111100011111100111111011011111111111101000111111011110111111100110111111111111111101100110111101110101110010101111101111111001101001110001111000110111011111010111111111010110111101011111100111011100111111111011011110011101111100100111001011110110111111110010111010011110110111111111111111011000101101101111110111111110110111111001111110111011010011111011111111110111011111011011111111111011111111111111111111111111111111011111011100111,0.0,0.0
11111111011111011111111111111111111011111101100111111101110111111011101111011011110111100011011111111101011111111111111111110111111111010111010111101001101111011111011111111111101101111111101111111110111111011101111111101110011111111100110100101111111111111111111111111111001111111111111111111111111110011110111110111111101011011011101111101111111101111111101111111111111111110011111111101111111111111110011011011011011101110111111111111111110111111111111101111010111110110100001110111101101111111111111011010111,11110100010101101101111000111001110010001111011111011111000101111001011100000111101001001100110010101001101111110001000111111011010010101100100111101111111011101100111100101100001110010101111100101001001101001110001001100001010001111000011100011010110110101011101100111011100111111111111001110111100111100100111001011111010111110010010111010011110110100111111011010001010101101101111110001111110011111110011011100111011000011111011110010110111011111011000111001111011000111111111101000110110100111011110011100011,11111111111111111101111101111011111111011111111111111111111111111001110101111111110111111100111111011011111111111011010111111011111111111110110111111111111111111111110111111011001111110111111111111011111111011110111111011110111111111110111101111111110111111111111111111111101111111111111111111111101111101110111111111110111111111011010111111011111111111111111111111111010111111111111111111111110111111111111111111111011101111111111111111111111111111011011111111111011111111111111101110111111110111111111111100111,0.0,0.0
10111101010000111111111101111100111011111111110101111011111011111011111111100100110111110001110110111011110110111111011011100110101000110111111111110111110011111110111011011111011111111001111110011111010111111110111110010111111111111111111100110011011111000111111111101111110111011111110101111110101110011101110110111111111111111011111101111110101111111111011111010111011101111111110111001111111111111110001111111111011111001000101110111111111101110101101010110011011111011101111110111111001101111101110011111011,11110100010101101101111000111001110010001111011111011111000101111001011100000111101001001100110010101001101111110001000111111011010010101100100111101111111011101100111100101100001110010101111100101001001101001110001001100001010001111000011100011010110110101011101100111011100111111111111001110111100111100100111001011111010111110010010111010011110110100111111011010001010101101101111110001111110011111110011011100111011000011111011110010110111011111011000111001111011000111111111101000110110100111011110011100011,11111111110101111111111110111111110111011111111111111111111111111001111110110111110111111111111110111011111111111111111111111111011111111111111111111111111011111110111101111111111111011111111111111111111111111111111111011111111111111101111101111010111111111111101111101111101111111111111111111111111111111110111111111110111111111011110111111111111111111111111111110111111101101101111110111111111111111111111111111111011111011111111110111111111111111111111111111111111111111111111111111111111111111011111111111111,16.9,56.3
11111111111111001111011111110111010011111000110111111101101011111011001010100111110001110011111111111101111111011111001111011100110011110111011111110001111110111110111010101101000011101111101111101110010001001100001101100010011101101110110101110010111011111111101101000101100111111011111101011111000111011100111110011111111001100010111101111111101100101111111101110011111010011101011111101011111011011110011101110010011101010100011111111111110111111011001101000010111000011101011110101001011101101110011011000001,11110100010101101101111000111001110010001111011111011111000101111001011100000111101001001100110010101001101111110001000111111011010010101100100111101111111011101100111100101100001110010101111100101001001101001110001001100001010001111000011100011010110110101011101100111011100111111111111001110111100111100100111001011111010111110010010111010011110110100111111011010001010101101101111110001111110011111110011011100111011000011111011110010110111011111011000111001111011000111111111101000110110100111011110011100011,11111110010101101111111000111011111011011111111111111111000111111001110100100111100011011101110010001011101111110011000111111011111110111100110111111111111011101110110111101110001110011101111101111011011101001110001101000110111011111001111101111010110111101110101111101111100101111111111011110011110111110110111001011110010111111011011111010011110110100111111011011011101101101101111110111111110110111110001011110111011000011111111110011110111011111011001111101111011100111111111101110111110110101011111011100110,97.4,97.8
01100011010100011100111001101000000111001100100000010101011100100001001000000000110001101001000010000101100100010000010010100001001000000001000010000010001100100101010000111111011010011100010110110000010001000100000000000010011110111000110000000011101000010000100111000110000001001001111101000110000000010000011000100010000000100010001010000111000100001111010010000001010101100010000000011000100000010111010101001010001100000000001010000000111000010000000000100000011001010110110100000100000000000001011000000001,11110100010101101101111000111001110010001111011111011111000101111001011100000111101001001100110010101001101111110001000111111011010010101100100111101111111011101100111100101100001110010101111100101001001101001110001001100001010001111000011100011010110110101011101100111011100111111111111001110111100111100100111001011111010111110010010111010011110110100111111011010001010101101101111110001111110011111110011011100111011000011111011110010110111011111011000111001111011000111111111101000110110100111011110011100011,11111100010101101101111011111011110111011111011111011111001111111001111100100111101011001101110011101011101111110001010111111011011010111101100111101111111011101111110110101010001110010101111111111001001101001110101101001110111011111010111101011011110110101010001110101111100101111111011011110011110111100100111101111110010111110010010111011011010110101111111111010011100101101101111110111111110110111111011011111111011101011111111110011110111111111011001111101111111000111111111101010110110110101011111011100111,100.0,100.0
01101011010011000100011001000011100111001100100000110101011111110001001000000000110001100001001011110001000111010100000101010001101001010111000111000011000110010111010010100101101000001101001111111110010001001100000001000010000110001100100000000011111001110000100101000110000011111011111101010110000000001000111010111111000000100010101111000111000001101111000110000011010101100000010001010100100000010111010011000010001100000000001010110000110110110001000000101000111000010110000100000001000001100100010010000001,11110100010101101101111000111001110010001111011111011111000101111001011100000111101001001100110010101001101111110001000111111011010010101100100111101111111011101100111100101100001110010101111100101001001101001110001001100001010001111000011100011010110110101011101100111011100111111111111001110111100111100100111001011111010111110010010111010011110110100111111011010001010101101101111110001111110011111110011011100111011000011111011110010110111011111011000111001111011000111111111101000110110100111011110011100011,11111100010111101111111001111011110111011111011111011111001111111001111100100111100011001101110011001001101111110001010111111011011010111101100111101111111011101101110110101010001111010101111111111001001101001110101101010110111011111000111101011011110110101010001110101111100101111111011011110011100111100100111001111110010111110010010111010011110110101111111111010011000101101101111110111111110110111111011011110111011000011111111110011110111011111011001111101111011000111111111101010110110110101011111011100111,93.7,100.0
11111111011111001111111101111111100111111111111101111101111111111011111111101001111001101111101111111101111111111111010111111011111101111111111111110011001111110111011010111101111101111111111111111110111011111111001111100011011111111110110001111011111111111011111111011111111111111011111101111111011111111111111010110111001011111111111111101111111101111111111111110011111111111111111101111111111111011111010011111111011111010111011010111011111110111111100101100011111101111110111111111101000101111101011110101011,11111100011111001100010000111010000011101101111101011111000110111110011101111010000001000110010100100101100111111111000111111001111010101011111011111101011111111101110100101111100110100111011111111011111101110110000111001101010101101010110101110111101101111101001010111100100011011011000010010110000100101110011111101110110101111111101011110011110011010111001011011011010101001001011111100010011001011010011111001111011011000010011010101110111101000011010111011110111011111101100111011110011000001110101011111110,11111111111111001111111111111111101111111111111111111111101111011111111111111011111011101111111111111111111111111111110111111111111111111011111111111111111011111111111110111111101111111101110111111111111111111111101111111111111111111111111111111111101111111111111111111110111111111111111011100111111111101111011111110111011111111111111111111111111111111111111110111111111111101101111111111111011101111111011111111111111111011111111111111111111110111111111101111111111101111111111111111111111011111111111111101111,100.0,100.0
