B_Fingerprint,C_Fingerprint,Product_Fingerprint,%conversion Based on the LC area percent (LCAP) at UV 254 nm of product,%conversion Based on the MS peak area percent of product
00000000000000000000000000111000010010000000000000000000000000001001000000000000000110000000100100000000000000000000000000000001000000010000000010000000100000000000000000011001001000000000000010000001000010010100101000000000000000000000000000000000001000000000000000000000000000000010011000000000000000000000000000000000000000000000000001000000000000000000100000000000000000000000000010000000010000000001000000000010000000001000100000000000000000000000000000000000000000000100000000000000000000000000000000000000,00000000000000000000001000000000011000000000000000000000000000000001000000000000010000000000000100000000000000000110100000000010010001000000000000000000100000000000000000000000000000010000000001000000100000100000001010000000000000100000100000000000000000000000100000000100000000000000000000000000010000000000000100000000001000000000000001000000000000000000100000000000000000000010000000000000110001000000000000100000000000000000110000000000000010000000000000000000000000000000000000000000000000100000000000000001,00000000000000000010001000001000011000000000000000000000000000001000000000000000010110000000001000000000000000000010100000000000010000001000000000000000100000000001000000011101000000010000000001000000101010110000101000000000000000100000100000000000000000000000100000000100000000000000000000000000110000000000000100000000001000000000000001000000001000100000100000000000000000000010000010000000110000000000000000100010100000001000110000000000000010000000000000000000000000000101000000000000000000100000000000000101,0.0,0.0
00010010000000000000000000000001010010001000001000000000000000001000000000000000000000000000110100000000100000000000000010000000000000010000000010000000000000000001000000000010001000000001000000000001000000000000000000000000000000000000000000000000001000000000000000100010000000000000110000000000000000000000000000000000000010000000000001000010011000000000100000000000010000000000001000000000000010000001010000000010000000000000000000000010010000000000100000000000000000000000000000000000000000000000000001000000,00000000000000000000001000000000011000000000000000000000000000000001000000000000010000000000000100000000000000000110100000000010010001000000000000000000100000000000000000000000000000010000000001000000100000100000001010000000000000100000100000000000000000000000100000000100000000000000000000000000010000000000000100000000001000000000000001000000000000000000100000000000000000000010000000000000110001000000000000100000000000000000110000000000000010000000000000000000000000000000000000000000000000100000000000000001,00010000000000000000011000000001011000101010000000000000000000001000000000000000010000000000000000000000000000000010100000000000010000001000000010000000100000000001001000000000000000010001000001000001100001100000001000000000000000100000100000000000000000000000100000000110000000000000000000000000010000100000000100000000001011000000000001000010000000100000100000001000010000000010001010000001110000000000000000100010000000000010110000000010010010000010000000000000000000000000000000000000000000100000000011000001,0.0,0.0
00001000000000000000000000000100010000100100100000000000000010000000100000000000000000000000000000000000000000000010000000000000000000000010000000000000000000000000000000000000000100010000000001000000000000000000000000000000000000010001000000100000000100000000000000000001000000000000000000000001000001000000000010000000100100000000000000000000001000000000000000000000000000000000010000000000100000010000000000000010000000010000100000000000000000100000000010000000001000000000000000001000000000000000000000011000,00000000000000000000001000000000011000000000000000000000000000000001000000000000010000000000000100000000000000000110100000000010010001000000000000000000100000000000000000000000000000010000000001000000100000100000001010000000000000100000100000000000000000000000100000000100000000000000000000000000010000000000000100000000001000000000000001000000000000000000100000000000000000000010000000000000110001000000000000100000000000000000110000000000000010000000000000000000000000000000000000000000000000100000000000000001,00001000000000000000001000000100011000100100000000010000000000000000000000000000110000000001000000000000000000000010100000000000010000000010000000100000100001000000000000000000000000010000000001000000100000100000001000100000000000110001100000100000000100010000100000010100000000000000000010000001010001000000000110000000001100000000100001000000000000000100100000000000000000100010010000000000110000000000000000100010000000010000110000000000000010100000000010000000000000000100001000000000000000100000000000010001,0.0,0.0
00000000000000010000000000000000010010000001000000000000000000001000000000010000010000000010100100000000000000000000000000000000000000010010000010000000000100000000000000100000001000000010010000000001000000000100001000010000000000000000100000000000001000000000000000000001000000000000010000000000010000000000000000100000000000000000000001000000000000000000100000000000000000000000000000000000000000000001010000000000000000000000000000000001000000000000000000000000100000000000000000000000000000000000000000000001,00000000000000000000001000000000011000000000000000000000000000000001000000000000010000000000000100000000000000000110100000000010010001000000000000000000100000000000000000000000000000010000000001000000100000100000001010000000000000100000100000000000000000000000100000000100000000000000000000000000010000000000000100000000001000000000000001000000000000000000100000000000000000000010000000000000110001000000000000100000000000000000110000000000000010000000000000000000000000000000000000000000000000100000000000000001,00001000000001010000001000010100011000000000000000000000000000001000000000010000010000000010000000000010000000000010100000000000010000001010000000000000100000000010000000000000000000010000000001000000100000100100001000000000000000100000100000000000000000000000100000000100000000000000001000000000010010000000001100100000001000000000000001000000000000100000100000000000000000000010100010000000110000100000000000100000000000000000110000000000000010000000000000000000000000000000000000000000000000100000000000000001,0.0,0.0
00000000000000000000000000100000010010000000000000000000000000000000000000100110000000001010100111000000000000000000000001000000000000010000000010000000000100000000000000000001001000000010000000000001000100000000011000000000000000000000000000000000001000000000000000000000000000000000010000000000000010000011000000000001100010000000000001000000010000000000100000000001000000000010000000000000000000000001000000000000000000001010000000000100000000000000000000010000000000000000000000000000000000000000000010100001,00000000000000000000001000000000011000000000000000000000000000000001000000000000010000000000000100000000000000000110100000000010010001000000000000000000100000000000000000000000000000010000000001000000100000100000001010000000000000100000100000000000000000000000100000000100000000000000000000000000010000000000000100000000001000000000000001000000000000000000100000000000000000000010000000000000110001000000000000100000000000000000110000000000000010000000000000000000000000000000000000000000000000100000000000000001,00000000000000000000001000000000011000000000000000000000000000000000000000100000010000001010000011000000000000001010100000000000010000001000000000010000100100000000000000000001000010010010000001000000100100100001001010000000000000100000100000000000000000000000100010000100000000000000000000000000010000000000000101000001001010000000000001000000000000100000100000000001000001001010000010000000110000000000100000100000100000001010110000100000000010000000000000000000000000000000000000000000000000100000000010100001,0.0,0.0
10000000100000100000000010000100010000000000000000000000000000000000000100000000000001000000000000000000010000000000000000000000000000000000000000000000010000000010000000000000000000010000000000000000000000000000000000000000000000100000000000000000000000000000000000000001001000000000000010000001000001000010000000000000000000000100000001000000000000000000100000100000000000000010100000100000000000000100000000000010000000000000100000100001000000000000000000010000100000000000000000000000010000000000000000010000,00000000000000000000001000000000011000000000000000000000000000000001000000000000010000000000000100000000000000000110100000000010010001000000000000000000100000000000000000000000000000010000000001000000100000100000001010000000000000100000100000000000000000000000100000000100000000000000000000000000010000000000000100000000001000000000000001000000000000000000100000000000000000000010000000000000110001000000000000100000000000000000110000000000000010000000000000000000000000000000000000000000000000100000000000000001,10000000000000000000001000000000011000000000000000010000000000000000000000000000010000000000000000000000010000001010100000000000010000001000000000001000100000010000000000000000000000010000000001000100101000100001001010000000000000100000100000000000000010000000100000000100001000000000000000000000010001000010000100000000001000000100000001000000000000100000100000100000000000000010100010100000110000000100000000100010000010000000110000101001000010000000000000000000100000000000000000000000010000110000000000010001,16.9,56.3
10000000000000000000000000000000011010000000000000000010000000000000000000000000000000000000110100000000000000000000000100000000100000010000000010000000000000000000000000001000001000010000000000000001000000000000001000000000000000000000000000000000001000000000000000000000000000000000010000000000000000000000000100000000000000000100000001000000000000000100100000000000000000000010000000000000000000000001000000000001000000000000100000000100010000000000000000000000100000010000000000000100000000101000000000000001,00000000000000000000001000000000011000000000000000000000000000000001000000000000010000000000000100000000000000000110100000000010010001000000000000000000100000000000000000000000000000010000000001000000100000100000001010000000000000100000100000000000000000000000100000000100000000000000000000000000010000000000000100000000001000000000000001000000000000000000100000000000000000000010000000000000110001000000000000100000000000000000110000000000000010000000000000000000000000000000000000000000000000100000000000000001,10000000000000000000001000000000011000000000000000000000000000000000000000000000010000000000000000000000000000000010100100000000010000001000000000000000100000000000000000000000000000010000000001001000100000100000001000000000000000100000100000000000000000000001100000000100000000000000000000000000010000000000000100000000001000000100000001000000000000100000100000000010000001000010000010000000110000000000000000100000000000000000110000000000000010100000000000000001000000010000000000000100000000100000000000000001,97.4,97.8
00000000000000010000000000000100000000010000000000000000000000011000000000000000000010000000000000000000000000000000000000000010000010000010000000000000000000000000000000100000000000100000000000000000000000000000001000000001000000100000001000000000000000000000000000000001000000000000000000000001000000000000000001000001000000000100000001000000000000000000100000010000000000000000000000000000000000000000000000000000000000000000100100000000000000000001000000000000000000000000000000000000000010000100000000000000,00000000000000000000001000000000011000000000000000000000000000000001000000000000010000000000000100000000000000000110100000000010010001000000000000000000100000000000000000000000000000010000000001000000100000100000001010000000000000100000100000000000000000000000100000000100000000000000000000000000010000000000000100000000001000000000000001000000000000000000100000000000000000000010000000000000110001000000000000100000000000000000110000000000000010000000000000000000000000000000000000000000000000100000000000000001,00000000000000010000001000000000011000010000000000000000000000001000000000000000010000000000000000000000000000000010100000000000010000001010000000000000100000000000000000000000000000110000000001000000100000100000001000000000100000100000100000000000000000000000100010000100010000000000000000000000010000000000000101000000001000000100000001000000000000100000100000010000000000000010000010000000110000000000000000100000000000000000111000000000000010100101000000000000000000000000000000000001100010100100000000010001,100.0,100.0
00001000000000000000000001000000000000010000000000000000100110000000000000000000000000000000010000000000000000000000000000000000000000000010000010000000000000000000000000000000101000100100000000000000000000000000001000000010000000000000000000000000000000100000000000000000000000000000010000000000000000000000000000000000000000000000000001000000000000000000100000000001000010000000000000000000000001000000000000000010000010000000000000000110000000000001010000000000001000000000000000000010000010000100000000010000,00000000000000000000001000000000011000000000000000000000000000000001000000000000010000000000000100000000000000000110100000000010010001000000000000000000100000000000000000000000000000010000000001000000100000100000001010000000000000100000100000000000000000000000100000000100000000000000000000000000010000000000000100000000001000000000000001000000000000000000100000000000000000000010000000000000110001000000000000100000000000000000110000000000000010000000000000000000000000000000000000000000000000100000000000000001,00000000000000000000001001000000011000010000000000000000000010000000000000000000010000000000000000000000000000000110100000000000010000001010000000000000100000000000000000000000000000110000000001000000100000100000001000000000000000100000100000100000000000100000100000000100000000000000000000000000010000000000000100000000001000000000000001000000000000100000100000000000000000000010000010000000110000000000000000100000000010000000110000000000000010000001000000000000000000000000000000000000000010100100000000000001,93.7,100.0
00001000000000000000000000010000010010000000000000000010000000000001000000000000000000000000110100000000000000000000000000000000100000010010000010000000000000000100000000000000001000000010000001000001000000000000001000000000000000000000000000000000001000000000000000000000000000000000010000000001000010000000000000001000000000000000000001000000000000000000100000111011010000000000010000000000000000000001000100000010010000010000001000001100000000000000100110000010000000000100000010000000000000000000000000000000,00000100000000000000000000000000010001000000000000000000000000000000010000000100000001000000000100000000000000000000000000000010000000000000000000000000000100000000000000000000000000000010100000000000001000000000001010000000000000000000100000000000001000000000000000000000000000000000000100000000000000000001000000000000000001100010000001000000000000000000100000000001000000000010000000010000000000000001010000000000000000010000100001000001000000000000000000000000000000000000000000100000000000000000000000000000,00001000000000000000000000010000010000000000000001000000010000000001000000000100000000000000000000000000000000000000000000000010000000001010000000000000000100000100000000000010000000000010100001000000001000000000101100000000000100000000100000000000001000000000000000100000000000000000000101100001001000000001000000001000000000001010000001000000000000000000100100111011010000000010010010010000000000000000010100000010010000010000101001000000000100000000100110000010000000000100000010000000000000000000000000000000,100.0,100.0
