Reactant_B,Reactant_C,SMILES of the product,%conversion Based on the LC area percent (LCAP) at UV 254 nm of product,%conversion Based on the MS peak area percent of product
CC(Oc1c(C(F)(F)F)cc(B(O)O)cc1)=O,C1(N)=C(C)C(C)=C(Br)C(C)=C1C,CC(=O)Oc1ccc(-c2c(C)c(C)c(N)c(C)c2C)cc1C(F)(F)F,0,0
CC1(C(C)(C)OB(c2cc3c(cccc3)nc2)O1)C,C1(N)=C(C)C(C)=C(Br)C(C)=C1C,Cc1c(C)c(-c2cnc3ccccc3c2)c(C)c(C)c1N,92,27.2
CC1(C(C)(C)OB(C2Cc3c(cccc3)C=2)O1)C,C1(N)=C(C)C(C)=C(Br)C(C)=C1C,Cc1c(C)c(C2=Cc3ccccc3C2)c(C)c(C)c1N,98.1,25.4
CC(OC(N1C(B(O)O)CCC1)=O)(C)C,C1(N)=C(C)C(C)=C(Br)C(C)=C1C,Cc1c(C)c(C2CCCN2C(=O)OC(C)(C)C)c(C)c(C)c1N,0,0
CC1(C)OB(C2=CC=CC(=O)N2)OC1(C)C,C1(N)=C(C)C(C)=C(Br)C(C)=C1C,Cc1c(C)c(-c2cccc(=O)[nH]2)c(C)c(C)c1N,0,0
Cc1ccc2C=NNc2c1B1OC(C)(C)C(C)(C)O1,C1(N)=C(C)C(C)=C(Br)C(C)=C1C,Cc1ccc2cn[nH]c2c1-c1c(C)c(C)c(N)c(C)c1C,0,0
COc1c(B(O)O)c(C2CC2)ncn1,C1(N)=C(C)C(C)=C(Br)C(C)=C1C,COc1ncnc(C2CC2)c1-c1c(C)c(C)c(N)c(C)c1C,0,0
COc1ncc(B2OC(C)(C)C(C)(C)O2)cc1,C1(N)=C(C)C(C)=C(Br)C(C)=C1C,COc1ccc(-c2c(C)c(C)c(N)c(C)c2C)cn1,78.9,8
O=Cc1cc(B(O)O)ccc1,C1(N)=C(C)C(C)=C(Br)C(C)=C1C,Cc1c(C)c(-c2cccc(C=O)c2)c(C)c(C)c1N,96.5,19.5
O=Cc1ccc(B2OCCCO2)cc1,C1(N)=C(C)C(C)=C(Br)C(C)=C1C,Cc1c(C)c(-c2ccc(C=O)cc2)c(C)c(C)c1N,97.6,29.6
Cc1c(C(N2CCCC2)=O)ccc(B2OC(C)(C)C(C)(C)O2)c1,Cc1c(Br)c2C(C(Nc2cc1)=O)=O,Cc1cc(-c2c(C)ccc3c2C(=O)C(=O)N3)ccc1C(=O)N1CCCC1,100,93.4
OB(c1ccc(-c2oc3c(cccc3)n2)cc1)O,Cc1c(Br)c2C(C(Nc2cc1)=O)=O,Cc1ccc2c(c1-c1ccc(-c3nc4ccccc4o3)cc1)C(=O)C(=O)N2,100,100
OB(c1c2Oc3c(Sc2ccc1)cccc3)O,Cc1c(Br)c2C(C(Nc2cc1)=O)=O,Cc1ccc2c(c1-c1cccc3c1Oc1ccccc1S3)C(=O)C(=O)N2,83.9,70.9
Cc1[n](C(C)C)c2c(c(cc(c2)B2OC(C)(C)C(C)(C)O2)F)n1,Cc1c(Br)c2C(C(Nc2cc1)=O)=O,Cc1ccc2c(c1-c1cc(F)c3nc(C)n(C(C)C)c3c1)C(=O)C(=O)N2,100,100
OB(c1c2sc3c(c2ccc1)cccc3)O,Cc1c(Br)c2C(C(Nc2cc1)=O)=O,Cc1ccc2c(c1-c1cccc3c1sc1ccccc13)C(=O)C(=O)N2,100,100
OB(c1c[n](-c2ccccc2)nc1)O,Cc1c(Br)c2C(C(Nc2cc1)=O)=O,Cc1ccc2c(c1-c1cnn(-c3ccccc3)c1)C(=O)C(=O)N2,89.5,89.9
CC1(C(C)(C)OB(c2cc(C#N)c(OC3CCOCC3)cc2)O1)C,Cc1c(Br)c2C(C(Nc2cc1)=O)=O,Cc1ccc2c(c1-c1ccc(OC3CCOCC3)c(C#N)c1)C(=O)C(=O)N2,96.2,83.3
OCc1c(B(O)O)cc(F)cc1,Cc1c(Br)c2C(C(Nc2cc1)=O)=O,Cc1ccc2c(c1-c1cc(F)ccc1CO)C(=O)C(=O)N2,100,100
CC(Oc1c(C(F)(F)F)cc(B(O)O)cc1)=O,Cc1c(Br)c2C(C(Nc2cc1)=O)=O,CC(=O)Oc1ccc(-c2c(C)ccc3c2C(=O)C(=O)N3)cc1C(F)(F)F,0,0
CC1(C(C)(C)OB(c2cc3c(cccc3)nc2)O1)C,Cc1c(Br)c2C(C(Nc2cc1)=O)=O,Cc1ccc2c(c1-c1cnc3ccccc3c1)C(=O)C(=O)N2,100,100
CC1(C(C)(C)OB(C2Cc3c(cccc3)C=2)O1)C,Cc1c(Br)c2C(C(Nc2cc1)=O)=O,Cc1ccc2c(c1C1=Cc3ccccc3C1)C(=O)C(=O)N2,100,100
CC1(C(C)(C)OB(c2c3OCCOc3cs2)O1)C,Cc1c(Br)c2C(C(Nc2cc1)=O)=O,Cc1ccc2c(c1-c1scc3c1OCCO3)C(=O)C(=O)N2,100,100
CC(OC(N1C(B(O)O)CCC1)=O)(C)C,Cc1c(Br)c2C(C(Nc2cc1)=O)=O,Cc1ccc2c(c1C1CCCN1C(=O)OC(C)(C)C)C(=O)C(=O)N2,0,0
CC1(C)OB(C2=CC=CC(=O)N2)OC1(C)C,Cc1c(Br)c2C(C(Nc2cc1)=O)=O,Cc1ccc2c(c1-c1cccc(=O)[nH]1)C(=O)C(=O)N2,0,0
Cc1ccc2C=NNc2c1B1OC(C)(C)C(C)(C)O1,Cc1c(Br)c2C(C(Nc2cc1)=O)=O,Cc1ccc2c(c1-c1c(C)ccc3cn[nH]c13)C(=O)C(=O)N2,0,0
COc1ncc(B2OC(C)(C)C(C)(C)O2)cc1,Cc1c(Br)c2C(C(Nc2cc1)=O)=O,COc1ccc(-c2c(C)ccc3c2C(=O)C(=O)N3)cn1,100,100
O=Cc1cc(B(O)O)ccc1,Cc1c(Br)c2C(C(Nc2cc1)=O)=O,Cc1ccc2c(c1-c1cccc(C=O)c1)C(=O)C(=O)N2,100,100
O=Cc1ccc(B2OCCCO2)cc1,Cc1c(Br)c2C(C(Nc2cc1)=O)=O,Cc1ccc2c(c1-c1ccc(C=O)cc1)C(=O)C(=O)N2,100,100
Cc1c(C(N2CCCC2)=O)ccc(B2OC(C)(C)C(C)(C)O2)c1,Oc1c(Br)cnc2C=CSc12,Cc1cc(-c2cnc3ccsc3c2O)ccc1C(=O)N1CCCC1,0,0
OB(c1ccc(-c2oc3c(cccc3)n2)cc1)O,Oc1c(Br)cnc2C=CSc12,Oc1c(-c2ccc(-c3nc4ccccc4o3)cc2)cnc2ccsc12,0,0
OB(c1c2Oc3c(Sc2ccc1)cccc3)O,Oc1c(Br)cnc2C=CSc12,Oc1c(-c2cccc3c2Oc2ccccc2S3)cnc2ccsc12,76.2,29.7
OB(c1c2sc3c(c2ccc1)cccc3)O,Oc1c(Br)cnc2C=CSc12,Oc1c(-c2cccc3c2sc2ccccc23)cnc2ccsc12,69.7,15.5
C=C(C(F)(F)F)B1OC(C)(C)CC(C)O1,Oc1c(Br)cnc2C=CSc12,C=C(c1cnc2ccsc2c1O)C(F)(F)F,74.4,45.9
OB(c1c[n](-c2ccccc2)nc1)O,Oc1c(Br)cnc2C=CSc12,Oc1c(-c2cnn(-c3ccccc3)c2)cnc2ccsc12,0,0
CC1(C(C)(C)OB(c2cc(C#N)c(OC3CCOCC3)cc2)O1)C,Oc1c(Br)cnc2C=CSc12,N#Cc1cc(-c2cnc3ccsc3c2O)ccc1OC1CCOCC1,80,13.3
OCc1c(B(O)O)cc(F)cc1,Oc1c(Br)cnc2C=CSc12,OCc1ccc(F)cc1-c1cnc2ccsc2c1O,0,0
CC(Oc1c(C(F)(F)F)cc(B(O)O)cc1)=O,Oc1c(Br)cnc2C=CSc12,CC(=O)Oc1ccc(-c2cnc3ccsc3c2O)cc1C(F)(F)F,40,34.5
CC1(C(C)(C)OB(c2cc3c(cccc3)nc2)O1)C,Oc1c(Br)cnc2C=CSc12,Oc1c(-c2cnc3ccccc3c2)cnc2ccsc12,100,100
CC1(C(C)(C)OB(C2Cc3c(cccc3)C=2)O1)C,Oc1c(Br)cnc2C=CSc12,Oc1c(C2=Cc3ccccc3C2)cnc2ccsc12,41.3,22.5
CC1(C(C)(C)OB(c2c3OCCOc3cs2)O1)C,Oc1c(Br)cnc2C=CSc12,Oc1c(-c2scc3c2OCCO3)cnc2ccsc12,68.8,24.5
CC(OC(N1C(B(O)O)CCC1)=O)(C)C,Oc1c(Br)cnc2C=CSc12,CC(C)(C)OC(=O)N1CCCC1c1cnc2ccsc2c1O,0,0
CC1(C)OB(C2=CC=CC(=O)N2)OC1(C)C,Oc1c(Br)cnc2C=CSc12,O=c1cccc(-c2cnc3ccsc3c2O)[nH]1,0,0
Cc1ccc2C=NNc2c1B1OC(C)(C)C(C)(C)O1,Oc1c(Br)cnc2C=CSc12,Cc1ccc2cn[nH]c2c1-c1cnc2ccsc2c1O,0,0
COc1c(B(O)O)c(C2CC2)ncn1,Oc1c(Br)cnc2C=CSc12,COc1ncnc(C2CC2)c1-c1cnc2ccsc2c1O,0,0
COc1ncc(B2OC(C)(C)C(C)(C)O2)cc1,Oc1c(Br)cnc2C=CSc12,COc1ccc(-c2cnc3ccsc3c2O)cn1,0,0
O=Cc1cc(B(O)O)ccc1,Oc1c(Br)cnc2C=CSc12,O=Cc1cccc(-c2cnc3ccsc3c2O)c1,80.8,22.4
O=Cc1ccc(B2OCCCO2)cc1,Oc1c(Br)cnc2C=CSc12,O=Cc1ccc(-c2cnc3ccsc3c2O)cc1,52,16.6
Cc1c(C(N2CCCC2)=O)ccc(B2OC(C)(C)C(C)(C)O2)c1,Ic1[n]2c(cncc2)nc1,Cc1cc(-c2cnc3cnccn23)ccc1C(=O)N1CCCC1,96.1,51.2
OB(c1ccc(-c2oc3c(cccc3)n2)cc1)O,Ic1[n]2c(cncc2)nc1,c1ccc2oc(-c3ccc(-c4cnc5cnccn45)cc3)nc2c1,0,0
OB(c1c2Oc3c(Sc2ccc1)cccc3)O,Ic1[n]2c(cncc2)nc1,c1ccc2c(c1)Oc1c(cccc1-c1cnc3cnccn13)S2,97.8,64.8
OB(c1c2sc3c(c2ccc1)cccc3)O,Ic1[n]2c(cncc2)nc1,c1ccc2c(c1)sc1c(-c3cnc4cnccn34)cccc12,98.1,46.9
C=C(C(F)(F)F)B1OC(C)(C)CC(C)O1,Ic1[n]2c(cncc2)nc1,C=C(c1cnc2cnccn12)C(F)(F)F,100,100
OB(c1c[n](-c2ccccc2)nc1)O,Ic1[n]2c(cncc2)nc1,c1ccc(-n2cc(-c3cnc4cnccn34)cn2)cc1,82.9,30.7
CC1(C(C)(C)OB(c2cc(C#N)c(OC3CCOCC3)cc2)O1)C,Ic1[n]2c(cncc2)nc1,N#Cc1cc(-c2cnc3cnccn23)ccc1OC1CCOCC1,97.7,57.1
OCc1c(B(O)O)cc(F)cc1,Ic1[n]2c(cncc2)nc1,OCc1ccc(F)cc1-c1cnc2cnccn12,76,47.5
CC(Oc1c(C(F)(F)F)cc(B(O)O)cc1)=O,Ic1[n]2c(cncc2)nc1,CC(=O)Oc1ccc(-c2cnc3cnccn23)cc1C(F)(F)F,0,0
CC1(C(C)(C)OB(c2cc3c(cccc3)nc2)O1)C,Ic1[n]2c(cncc2)nc1,c1ccc2ncc(-c3cnc4cnccn34)cc2c1,100,100
CC1(C(C)(C)OB(C2Cc3c(cccc3)C=2)O1)C,Ic1[n]2c(cncc2)nc1,C1=C(c2cnc3cnccn23)Cc2ccccc21,94.5,73.4
CC1(C(C)(C)OB(c2c3OCCOc3cs2)O1)C,Ic1[n]2c(cncc2)nc1,c1cn2c(-c3scc4c3OCCO4)cnc2cn1,89.7,51.2
CC(OC(N1C(B(O)O)CCC1)=O)(C)C,Ic1[n]2c(cncc2)nc1,CC(C)(C)OC(=O)N1CCCC1c1cnc2cnccn12,0,0
CC1(C)OB(C2=CC=CC(=O)N2)OC1(C)C,Ic1[n]2c(cncc2)nc1,O=c1cccc(-c2cnc3cnccn23)[nH]1,0,0
Cc1ccc2C=NNc2c1B1OC(C)(C)C(C)(C)O1,Ic1[n]2c(cncc2)nc1,Cc1ccc2cn[nH]c2c1-c1cnc2cnccn12,54.5,21.7
COc1c(B(O)O)c(C2CC2)ncn1,Ic1[n]2c(cncc2)nc1,COc1ncnc(C2CC2)c1-c1cnc2cnccn12,0,0
COc1ncc(B2OC(C)(C)C(C)(C)O2)cc1,Ic1[n]2c(cncc2)nc1,COc1ccc(-c2cnc3cnccn23)cn1,97.6,77.1
O=Cc1cc(B(O)O)ccc1,Ic1[n]2c(cncc2)nc1,O=Cc1cccc(-c2cnc3cnccn23)c1,97.6,69.1
O=Cc1ccc(B2OCCCO2)cc1,Ic1[n]2c(cncc2)nc1,O=Cc1ccc(-c2cnc3cnccn23)cc1,92.5,66.5
Cc1c(C(N2CCCC2)=O)ccc(B2OC(C)(C)C(C)(C)O2)c1,Brc1c[n]2c(cnc2)cc1,Cc1cc(-c2ccc3cncn3c2)ccc1C(=O)N1CCCC1,95.6,46.5
OB(c1ccc(-c2oc3c(cccc3)n2)cc1)O,Brc1c[n]2c(cnc2)cc1,c1ccc2oc(-c3ccc(-c4ccc5cncn5c4)cc3)nc2c1,89.8,51.8
OB(c1c2Oc3c(Sc2ccc1)cccc3)O,Brc1c[n]2c(cnc2)cc1,c1ccc2c(c1)Oc1c(cccc1-c1ccc3cncn3c1)S2,93.3,65
Cc1[n](C(C)C)c2c(c(cc(c2)B2OC(C)(C)C(C)(C)O2)F)n1,Brc1c[n]2c(cnc2)cc1,Cc1nc2c(F)cc(-c3ccc4cncn4c3)cc2n1C(C)C,95.6,48.2
OB(c1c2sc3c(c2ccc1)cccc3)O,Brc1c[n]2c(cnc2)cc1,c1ccc2c(c1)sc1c(-c3ccc4cncn4c3)cccc12,96.8,70.3
C=C(C(F)(F)F)B1OC(C)(C)CC(C)O1,Brc1c[n]2c(cnc2)cc1,C=C(c1ccc2cncn2c1)C(F)(F)F,62.5,82.9
OB(c1c[n](-c2ccccc2)nc1)O,Brc1c[n]2c(cnc2)cc1,c1ccc(-n2cc(-c3ccc4cncn4c3)cn2)cc1,83.6,26.8
CC1(C(C)(C)OB(c2cc(C#N)c(OC3CCOCC3)cc2)O1)C,Brc1c[n]2c(cnc2)cc1,N#Cc1cc(-c2ccc3cncn3c2)ccc1OC1CCOCC1,98.5,42.1
CC(Oc1c(C(F)(F)F)cc(B(O)O)cc1)=O,Brc1c[n]2c(cnc2)cc1,CC(=O)Oc1ccc(-c2ccc3cncn3c2)cc1C(F)(F)F,0,0
CC1(C(C)(C)OB(c2cc3c(cccc3)nc2)O1)C,Brc1c[n]2c(cnc2)cc1,c1ccc2ncc(-c3ccc4cncn4c3)cc2c1,0,0
CC1(C(C)(C)OB(C2Cc3c(cccc3)C=2)O1)C,Brc1c[n]2c(cnc2)cc1,C1=C(c2ccc3cncn3c2)Cc2ccccc21,92.4,71.3
CC1(C(C)(C)OB(c2c3OCCOc3cs2)O1)C,Brc1c[n]2c(cnc2)cc1,c1cc2cncn2cc1-c1scc2c1OCCO2,64.5,17.3
CC(OC(N1C(B(O)O)CCC1)=O)(C)C,Brc1c[n]2c(cnc2)cc1,CC(C)(C)OC(=O)N1CCCC1c1ccc2cncn2c1,0,0
CC1(C)OB(C2=CC=CC(=O)N2)OC1(C)C,Brc1c[n]2c(cnc2)cc1,O=c1cccc(-c2ccc3cncn3c2)[nH]1,0,0
Cc1ccc2C=NNc2c1B1OC(C)(C)C(C)(C)O1,Brc1c[n]2c(cnc2)cc1,Cc1ccc2cn[nH]c2c1-c1ccc2cncn2c1,41.7,21.7
COc1c(B(O)O)c(C2CC2)ncn1,Brc1c[n]2c(cnc2)cc1,COc1ncnc(C2CC2)c1-c1ccc2cncn2c1,64.6,11.3
COc1ncc(B2OC(C)(C)C(C)(C)O2)cc1,Brc1c[n]2c(cnc2)cc1,COc1ccc(-c2ccc3cncn3c2)cn1,95.9,62.9
O=Cc1cc(B(O)O)ccc1,Brc1c[n]2c(cnc2)cc1,O=Cc1cccc(-c2ccc3cncn3c2)c1,94.8,52.8
O=Cc1ccc(B2OCCCO2)cc1,Brc1c[n]2c(cnc2)cc1,O=Cc1ccc(-c2ccc3cncn3c2)cc1,93.2,61.9
Cc1c(C(N2CCCC2)=O)ccc(B2OC(C)(C)C(C)(C)O2)c1,Cc1onc(-c2cc(C)c(Br)cc2)n1,Cc1nc(-c2ccc(-c3ccc(C(=O)N4CCCC4)c(C)c3)c(C)c2)no1,100,100
OB(c1ccc(-c2oc3c(cccc3)n2)cc1)O,Cc1onc(-c2cc(C)c(Br)cc2)n1,Cc1nc(-c2ccc(-c3ccc(-c4nc5ccccc5o4)cc3)c(C)c2)no1,90.2,100
OB(c1c2Oc3c(Sc2ccc1)cccc3)O,Cc1onc(-c2cc(C)c(Br)cc2)n1,Cc1nc(-c2ccc(-c3cccc4c3Oc3ccccc3S4)c(C)c2)no1,97.9,100
Cc1[n](C(C)C)c2c(c(cc(c2)B2OC(C)(C)C(C)(C)O2)F)n1,Cc1onc(-c2cc(C)c(Br)cc2)n1,Cc1nc(-c2ccc(-c3cc(F)c4nc(C)n(C(C)C)c4c3)c(C)c2)no1,100,100
OB(c1c2sc3c(c2ccc1)cccc3)O,Cc1onc(-c2cc(C)c(Br)cc2)n1,Cc1nc(-c2ccc(-c3cccc4c3sc3ccccc34)c(C)c2)no1,100,100
C=C(C(F)(F)F)B1OC(C)(C)CC(C)O1,Cc1onc(-c2cc(C)c(Br)cc2)n1,C=C(c1ccc(-c2noc(C)n2)cc1C)C(F)(F)F,78.1,68.9
OB(c1c[n](-c2ccccc2)nc1)O,Cc1onc(-c2cc(C)c(Br)cc2)n1,Cc1nc(-c2ccc(-c3cnn(-c4ccccc4)c3)c(C)c2)no1,90,88.7
CC1(C(C)(C)OB(c2cc(C#N)c(OC3CCOCC3)cc2)O1)C,Cc1onc(-c2cc(C)c(Br)cc2)n1,Cc1nc(-c2ccc(-c3ccc(OC4CCOCC4)c(C#N)c3)c(C)c2)no1,100,100
OCc1c(B(O)O)cc(F)cc1,Cc1onc(-c2cc(C)c(Br)cc2)n1,Cc1nc(-c2ccc(-c3cc(F)ccc3CO)c(C)c2)no1,100,100
CC(Oc1c(C(F)(F)F)cc(B(O)O)cc1)=O,Cc1onc(-c2cc(C)c(Br)cc2)n1,CC(=O)Oc1ccc(-c2ccc(-c3noc(C)n3)cc2C)cc1C(F)(F)F,0,0
CC1(C(C)(C)OB(c2cc3c(cccc3)nc2)O1)C,Cc1onc(-c2cc(C)c(Br)cc2)n1,Cc1nc(-c2ccc(-c3cnc4ccccc4c3)c(C)c2)no1,100,100
CC1(C(C)(C)OB(C2Cc3c(cccc3)C=2)O1)C,Cc1onc(-c2cc(C)c(Br)cc2)n1,Cc1nc(-c2ccc(C3=Cc4ccccc4C3)c(C)c2)no1,92.3,100
CC1(C(C)(C)OB(c2c3OCCOc3cs2)O1)C,Cc1onc(-c2cc(C)c(Br)cc2)n1,Cc1nc(-c2ccc(-c3scc4c3OCCO4)c(C)c2)no1,90.7,100
CC(OC(N1C(B(O)O)CCC1)=O)(C)C,Cc1onc(-c2cc(C)c(Br)cc2)n1,Cc1nc(-c2ccc(C3CCCN3C(=O)OC(C)(C)C)c(C)c2)no1,0,0
CC1(C)OB(C2=CC=CC(=O)N2)OC1(C)C,Cc1onc(-c2cc(C)c(Br)cc2)n1,Cc1nc(-c2ccc(-c3cccc(=O)[nH]3)c(C)c2)no1,75.2,79.5
Cc1ccc2C=NNc2c1B1OC(C)(C)C(C)(C)O1,Cc1onc(-c2cc(C)c(Br)cc2)n1,Cc1nc(-c2ccc(-c3c(C)ccc4cn[nH]c34)c(C)c2)no1,39.3,52.8
COc1c(B(O)O)c(C2CC2)ncn1,Cc1onc(-c2cc(C)c(Br)cc2)n1,COc1ncnc(C2CC2)c1-c1ccc(-c2noc(C)n2)cc1C,33.9,13.6
COc1ncc(B2OC(C)(C)C(C)(C)O2)cc1,Cc1onc(-c2cc(C)c(Br)cc2)n1,COc1ccc(-c2ccc(-c3noc(C)n3)cc2C)cn1,91.6,90.5
O=Cc1cc(B(O)O)ccc1,Cc1onc(-c2cc(C)c(Br)cc2)n1,Cc1nc(-c2ccc(-c3cccc(C=O)c3)c(C)c2)no1,98.8,99
O=Cc1ccc(B2OCCCO2)cc1,Cc1onc(-c2cc(C)c(Br)cc2)n1,Cc1nc(-c2ccc(-c3ccc(C=O)cc3)c(C)c2)no1,95,96
Cc1c(C(N2CCCC2)=O)ccc(B2OC(C)(C)C(C)(C)O2)c1,Clc1c2[n](cnn2)ccc1,Cc1cc(-c2cccn3cnnc23)ccc1C(=O)N1CCCC1,89.2,44.9
OB(c1ccc(-c2oc3c(cccc3)n2)cc1)O,Clc1c2[n](cnn2)ccc1,c1ccc2oc(-c3ccc(-c4cccn5cnnc45)cc3)nc2c1,91.8,51.2
OB(c1c2Oc3c(Sc2ccc1)cccc3)O,Clc1c2[n](cnn2)ccc1,c1ccc2c(c1)Oc1c(cccc1-c1cccn3cnnc13)S2,82.3,60.7
Cc1[n](C(C)C)c2c(c(cc(c2)B2OC(C)(C)C(C)(C)O2)F)n1,Clc1c2[n](cnn2)ccc1,Cc1nc2c(F)cc(-c3cccn4cnnc34)cc2n1C(C)C,89.5,46.8
OB(c1c2sc3c(c2ccc1)cccc3)O,Clc1c2[n](cnn2)ccc1,c1ccc2c(c1)sc1c(-c3cccn4cnnc34)cccc12,94.3,48.9
C=C(C(F)(F)F)B1OC(C)(C)CC(C)O1,Clc1c2[n](cnn2)ccc1,C=C(c1cccn2cnnc12)C(F)(F)F,0,0
OB(c1c[n](-c2ccccc2)nc1)O,Clc1c2[n](cnn2)ccc1,c1ccc(-n2cc(-c3cccn4cnnc34)cn2)cc1,45.3,17.3
CC1(C(C)(C)OB(c2cc(C#N)c(OC3CCOCC3)cc2)O1)C,Clc1c2[n](cnn2)ccc1,N#Cc1cc(-c2cccn3cnnc23)ccc1OC1CCOCC1,92.6,36.6
OCc1c(B(O)O)cc(F)cc1,Clc1c2[n](cnn2)ccc1,OCc1ccc(F)cc1-c1cccn2cnnc12,77.5,51.2
CC(Oc1c(C(F)(F)F)cc(B(O)O)cc1)=O,Clc1c2[n](cnn2)ccc1,CC(=O)Oc1ccc(-c2cccn3cnnc23)cc1C(F)(F)F,0,0
CC1(C(C)(C)OB(c2cc3c(cccc3)nc2)O1)C,Clc1c2[n](cnn2)ccc1,c1ccc2ncc(-c3cccn4cnnc34)cc2c1,97.4,32.9
CC1(C(C)(C)OB(C2Cc3c(cccc3)C=2)O1)C,Clc1c2[n](cnn2)ccc1,C1=C(c2cccn3cnnc23)Cc2ccccc21,94.5,83.8
CC1(C(C)(C)OB(c2c3OCCOc3cs2)O1)C,Clc1c2[n](cnn2)ccc1,c1cc(-c2scc3c2OCCO3)c2nncn2c1,32.9,55.7
CC(OC(N1C(B(O)O)CCC1)=O)(C)C,Clc1c2[n](cnn2)ccc1,CC(C)(C)OC(=O)N1CCCC1c1cccn2cnnc12,0,0
CC1(C)OB(C2=CC=CC(=O)N2)OC1(C)C,Clc1c2[n](cnn2)ccc1,O=c1cccc(-c2cccn3cnnc23)[nH]1,0,0
Cc1ccc2C=NNc2c1B1OC(C)(C)C(C)(C)O1,Clc1c2[n](cnn2)ccc1,Cc1ccc2cn[nH]c2c1-c1cccn2cnnc12,0,0
COc1c(B(O)O)c(C2CC2)ncn1,Clc1c2[n](cnn2)ccc1,COc1ncnc(C2CC2)c1-c1cccn2cnnc12,0,0
COc1ncc(B2OC(C)(C)C(C)(C)O2)cc1,Clc1c2[n](cnn2)ccc1,COc1ccc(-c2cccn3cnnc23)cn1,93.3,71.5
O=Cc1cc(B(O)O)ccc1,Clc1c2[n](cnn2)ccc1,O=Cc1cccc(-c2cccn3cnnc23)c1,95.7,60.3
O=Cc1ccc(B2OCCCO2)cc1,Clc1c2[n](cnn2)ccc1,O=Cc1ccc(-c2cccn3cnnc23)cc1,95.8,50.2
Cc1c(C(N2CCCC2)=O)ccc(B2OC(C)(C)C(C)(C)O2)c1,Brc1[n]2CCNCc2nn1,Cc1cc(-c2nnc3n2CCNC3)ccc1C(=O)N1CCCC1,0,0
OB(c1ccc(-c2oc3c(cccc3)n2)cc1)O,Brc1[n]2CCNCc2nn1,c1ccc2oc(-c3ccc(-c4nnc5n4CCNC5)cc3)nc2c1,100,100
OB(c1c2Oc3c(Sc2ccc1)cccc3)O,Brc1[n]2CCNCc2nn1,c1ccc2c(c1)Oc1c(cccc1-c1nnc3n1CCNC3)S2,100,100
Cc1[n](C(C)C)c2c(c(cc(c2)B2OC(C)(C)C(C)(C)O2)F)n1,Brc1[n]2CCNCc2nn1,Cc1nc2c(F)cc(-c3nnc4n3CCNC4)cc2n1C(C)C,0,0
OB(c1c2sc3c(c2ccc1)cccc3)O,Brc1[n]2CCNCc2nn1,c1ccc2c(c1)sc1c(-c3nnc4n3CCNC4)cccc12,100,100
C=C(C(F)(F)F)B1OC(C)(C)CC(C)O1,Brc1[n]2CCNCc2nn1,C=C(c1nnc2n1CCNC2)C(F)(F)F,0,0
CC1(C(C)(C)OB(c2cc(C#N)c(OC3CCOCC3)cc2)O1)C,Brc1[n]2CCNCc2nn1,N#Cc1cc(-c2nnc3n2CCNC3)ccc1OC1CCOCC1,100,100
OCc1c(B(O)O)cc(F)cc1,Brc1[n]2CCNCc2nn1,OCc1ccc(F)cc1-c1nnc2n1CCNC2,0,0
CC1(C(C)(C)OB(c2cc3c(cccc3)nc2)O1)C,Brc1[n]2CCNCc2nn1,c1ccc2ncc(-c3nnc4n3CCNC4)cc2c1,0,0
CC1(C(C)(C)OB(C2Cc3c(cccc3)C=2)O1)C,Brc1[n]2CCNCc2nn1,C1=C(c2nnc3n2CCNC3)Cc2ccccc21,100,100
CC1(C(C)(C)OB(c2c3OCCOc3cs2)O1)C,Brc1[n]2CCNCc2nn1,c1sc(-c2nnc3n2CCNC3)c2c1OCCO2,0,0
CC(OC(N1C(B(O)O)CCC1)=O)(C)C,Brc1[n]2CCNCc2nn1,CC(C)(C)OC(=O)N1CCCC1c1nnc2n1CCNC2,0,0
CC1(C)OB(C2=CC=CC(=O)N2)OC1(C)C,Brc1[n]2CCNCc2nn1,O=c1cccc(-c2nnc3n2CCNC3)[nH]1,0,0
Cc1ccc2C=NNc2c1B1OC(C)(C)C(C)(C)O1,Brc1[n]2CCNCc2nn1,Cc1ccc2cn[nH]c2c1-c1nnc2n1CCNC2,100,100
COc1c(B(O)O)c(C2CC2)ncn1,Brc1[n]2CCNCc2nn1,COc1ncnc(C2CC2)c1-c1nnc2n1CCNC2,0,0
COc1ncc(B2OC(C)(C)C(C)(C)O2)cc1,Brc1[n]2CCNCc2nn1,COc1ccc(-c2nnc3n2CCNC3)cn1,0,0
O=Cc1cc(B(O)O)ccc1,Brc1[n]2CCNCc2nn1,O=Cc1cccc(-c2nnc3n2CCNC3)c1,0,0
O=Cc1ccc(B2OCCCO2)cc1,Brc1[n]2CCNCc2nn1,O=Cc1ccc(-c2nnc3n2CCNC3)cc1,0,0
Cc1c(C(N2CCCC2)=O)ccc(B2OC(C)(C)C(C)(C)O2)c1,O=C(C1CC1)Nc1n[n]2c(cccc2Br)n1,Cc1cc(-c2cccc(=N)n2N)ccc1C(=O)N1CCCC1,93.6,68.3
OB(c1ccc(-c2oc3c(cccc3)n2)cc1)O,O=C(C1CC1)Nc1n[n]2c(cccc2Br)n1,N=c1cccc(-c2ccc(-c3nc4ccccc4o3)cc2)n1N,72.4,43.2
